,M,S,P,V,C
14,C,C,5,4,0.5062525
31,B,C,3,1,3.899964
45,A,B,4,3,1.0312537
92,A,A,4,3,1.1062483
161,C,E,6,5,0.46875226
97,C,B,4,1,0.431252
105,C,D,4,2,0.2437507
49,D,D,3,1,0.7000007
17,B,C,5,4,0.46875226
68,C,A,5,2,0.5437528
55,A,E,4,3,1.1437455
67,D,C,3,2,1.2999974
44,B,A,5,3,0.6562536
154,A,D,4,1,0.2437507
124,C,A,3,1,4.299977
104,C,C,4,1,0.2437507
28,C,D,3,2,1.8999897
26,A,A,3,1,5.3000236
151,E,E,3,1,0.7000007
38,C,B,6,5,0.5437528
123,C,E,3,1,1.2999974
54,B,B,4,2,0.7312541
65,C,B,4,2,0.5062525
89,C,C,4,2,0.35625148
132,E,E,6,5,0.28125095
114,E,A,4,3,1.2187401
88,B,D,5,4,0.5062525
158,D,B,4,3,0.58125305
0,E,E,5,4,0.28125095
39,C,D,4,1,0.20625044
27,A,E,4,2,0.46875226
58,E,A,3,2,6.9000983
91,C,E,4,3,1.068751
5,E,C,4,3,0.8062546
46,B,A,4,1,0.8062546
138,B,E,4,1,0.20625044
126,C,C,3,1,1.8999897
59,B,C,4,3,0.9562557
82,C,E,5,4,0.46875226
63,C,A,6,1,0.5437528
149,E,A,4,1,0.88125515
13,E,C,3,1,1.1
146,B,A,3,1,5.100014
1,B,D,6,5,0.5062525
36,D,E,3,1,0.5000003
137,A,C,5,4,0.5062525
56,A,A,4,2,0.88125515
41,C,B,4,3,0.88125515
25,E,C,6,5,0.39375174
43,B,D,4,1,0.2437507
8,C,A,6,5,0.76875436
66,D,B,3,2,1.6999923
125,C,A,4,3,1.0312537
24,A,B,6,5,0.58125305
118,E,A,4,2,0.99375594
76,E,C,4,1,0.28125095
75,A,E,5,4,0.5062525
30,B,E,4,2,0.35625148
53,C,D,5,4,0.5062525
93,C,A,6,3,0.5437528
102,B,D,3,1,3.899964
135,B,B,6,5,0.5437528
163,B,E,3,1,3.6999667
15,E,B,3,2,1.8999897
48,C,E,3,2,4.0999675
83,C,A,5,4,0.76875436
117,E,D,6,5,0.31875122
33,C,A,6,2,0.5437528
64,D,A,4,3,0.7312541
