,Unnamed: 0,M,S,P,V,C
0,14,3,3,5,4,0.5062525
1,31,2,3,3,1,3.899964
2,45,1,2,4,3,1.0312537
3,92,1,1,4,3,1.1062483
4,161,3,5,6,5,0.46875226
5,97,3,2,4,1,0.431252
6,105,3,4,4,2,0.2437507
7,49,4,4,3,1,0.7000007
8,17,2,3,5,4,0.46875226
9,68,3,1,5,2,0.5437528
10,55,1,5,4,3,1.1437455
11,67,4,3,3,2,1.2999974
12,44,2,1,5,3,0.6562536
13,154,1,4,4,1,0.2437507
14,124,3,1,3,1,4.299977
15,104,3,3,4,1,0.2437507
16,28,3,4,3,2,1.8999897
17,26,1,1,3,1,5.3000236
18,151,5,5,3,1,0.7000007
19,38,3,2,6,5,0.5437528
20,123,3,5,3,1,1.2999974
21,54,2,2,4,2,0.7312541
22,65,3,2,4,2,0.5062525
